"","unit","allvotes","sd","rv","kf","sf","la","kd","df","ve","el","redshare"
"1512","sevel",1349,232,83,52,110,66,101,145,521,37,0.280948851000741
"1513","ulfborg",2260,392,112,59,256,88,209,248,792,102,0.331858407079646
"1514","vemb",1337,273,69,40,131,61,94,170,451,48,0.338070306656694
"1515","sdr. nissum",809,147,52,23,60,24,41,152,270,40,0.305315203955501
"1517","tarm,foersum",2865,651,179,111,177,85,190,361,1034,74,0.314834205933682
"1518","holmsland",933,109,42,40,77,40,29,133,445,18,0.218649517684887
"1519","hoven",402,50,23,13,31,24,14,57,178,12,0.23134328358209
"1520","aadum",448,56,17,20,29,26,18,68,206,8,0.207589285714286
"1521","lyne",362,46,24,8,16,23,9,56,170,10,0.198895027624309
"1522","sdr. vium",296,36,23,14,22,21,30,31,109,10,0.22972972972973
"1523","hemmet",372,60,14,18,23,22,22,67,138,8,0.244623655913978
"1524","sdr. og nr. bork",578,103,18,9,42,16,21,88,269,12,0.271626297577855
"1525","loenborg,vostrup",487,98,39,18,38,24,37,58,155,18,0.316221765913758
"1526","hvide sande",2163,300,76,77,133,73,120,383,968,33,0.21544151641239
"1527","vedersoe",262,31,18,9,14,19,15,31,115,10,0.209923664122137
"1528","velling",870,146,76,22,103,51,17,88,323,44,0.336781609195402
"1529","oelstrup",299,35,22,5,19,16,3,43,151,4,0.193979933110368
"1530","ringkoebing by",3262,692,236,115,372,150,62,399,1121,115,0.361434702636419
"1531","rindum",2677,522,190,92,289,138,90,346,960,50,0.321628688830781
"1532","hee",567,103,27,23,58,28,10,87,218,13,0.306878306878307
"1533","hover",264,22,20,10,8,20,3,22,152,6,0.136363636363636
"1534","no",429,65,20,8,33,18,2,75,193,15,0.263403263403263
"1535","stadil",316,29,18,10,17,21,5,39,165,12,0.183544303797468
"1536","hoejmark",518,63,43,15,31,32,3,64,258,9,0.198841698841699
"1537","lem",922,190,56,40,79,37,19,146,336,19,0.31236442516269
"1538","tim",795,123,46,22,63,27,11,101,372,30,0.271698113207547
"1539","torsted (ringkoebing opstillingskreds)",243,32,21,4,24,22,4,36,90,8,0.263374485596708
"1540","skjern",5153,1146,273,195,297,170,335,557,2085,95,0.298466912478168
"1541","borris",870,143,48,24,53,37,24,91,435,15,0.242528735632184
"1542","faster",548,50,29,14,28,16,54,73,280,4,0.14963503649635
"1543","rk moelle",1096,125,55,30,52,37,135,86,552,21,0.180656934306569
"1544","stauning",776,141,40,21,42,36,22,81,362,30,0.274484536082474
"1545","herborg",489,53,26,15,20,13,52,68,233,9,0.167689161554192
"1546","videbaek",2862,524,123,105,152,95,271,460,1090,42,0.250873515024458
"1547","nr.vium",450,50,22,14,28,38,33,81,180,4,0.182222222222222
"1548","troldhede",530,105,20,13,49,28,15,99,188,12,0.313207547169811
"1549","vorgod",1216,195,74,43,59,51,114,174,488,18,0.223684210526316
"1550","fjelstervang",449,66,14,5,13,14,21,71,236,9,0.195991091314031
"1551","spjald",1525,192,78,35,100,86,63,219,724,26,0.208524590163934
"1552","groenbjerg",412,54,31,9,31,38,10,61,164,14,0.240291262135922
